coarse_resolution,fine_resolution,status_disagreements,mean_transition_change,max_transition_change
1.000000000000000000e+01,2.000000000000000000e+01,1.400000000000000000e+02,9.501511570439113985e-02,2.904795022960356965e-01
2.000000000000000000e+01,3.000000000000000000e+01,1.010000000000000000e+02,5.047944474329641579e-02,2.300700620605085622e-01
3.000000000000000000e+01,4.000000000000000000e+01,4.000000000000000000e+01,3.476850850206794630e-02,1.432831575061007112e-01
4.000000000000000000e+01,5.000000000000000000e+01,3.000000000000000000e+01,2.465150006656254694e-02,1.153540804580197032e-01
5.000000000000000000e+01,6.000000000000000000e+01,2.700000000000000000e+01,1.906233865519466400e-02,7.923574901538998905e-02
6.000000000000000000e+01,7.000000000000000000e+01,2.600000000000000000e+01,1.782031284367009347e-02,6.263917805669205752e-02
7.000000000000000000e+01,8.000000000000000000e+01,2.800000000000000000e+01,1.591114125449107422e-02,6.821726055396248878e-02
