resolution,delta_omega,delta_alpha,max_omega_lookup_error,mean_omega_lookup_error,max_alpha_lookup_error,mean_alpha_lookup_error,classification_mismatch_count,classification_mismatch_rate,number_comparable,mean_transition_error,max_transition_error,rms_transition_error
1.000000000000000000e+01,4.921607686744466914e-01,6.233318757122630061e-03,2.411587766504790231e-01,1.230401921686117006e-01,3.054326190990053203e-03,1.558329689280652961e-03,8.200000000000000000e+01,3.280000000000000276e-02,1.948000000000000000e+03,8.949022634145996358e-02,2.400465045448701429e-01,1.041098630299363975e-01
2.000000000000000000e+01,2.331287851615800322e-01,2.952624674426473916e-03,1.142331047291742507e-01,5.828219629039501498e-02,1.446786090468943353e-03,7.381561686066229243e-04,8.900000000000000000e+01,3.559999999999999970e-02,1.963000000000000000e+03,4.269609304903546759e-02,1.371398292669598340e-01,4.977709040406450014e-02
3.000000000000000000e+01,1.527395488989662098e-01,1.934478234969061461e-03,7.484237896049350525e-02,3.818488722474155245e-02,9.478943351348134705e-04,4.836195587422720331e-04,2.600000000000000000e+01,1.039999999999999952e-02,1.970000000000000000e+03,2.825615688948300563e-02,9.429192110234052571e-02,3.314277383711635577e-02
4.000000000000000000e+01,1.135755620017954021e-01,1.438458174720602667e-03,5.565202538087987705e-02,2.839389050044886786e-02,7.048445056130892006e-04,3.596145436801523473e-04,2.000000000000000000e+01,8.000000000000000167e-03,1.974000000000000000e+03,2.121155074305325003e-02,8.729120639032267315e-02,2.499066413435891212e-02
5.000000000000000000e+01,9.039687587898001531e-02,1.144895281920466079e-03,4.429446918070034656e-02,2.259921896974500036e-02,5.609986881410233828e-04,2.862238204801215071e-04,1.800000000000000000e+01,7.199999999999999803e-03,1.967000000000000000e+03,1.418210459103643253e-02,4.895543311646416429e-02,1.697032794047236698e-02
6.000000000000000000e+01,7.507537149271220622e-02,9.508452341373541117e-04,3.678693203142902046e-02,1.876884287317798911e-02,4.659141647272990738e-04,2.377113085343374166e-04,1.600000000000000000e+01,6.400000000000000307e-03,1.973000000000000000e+03,1.406528607797536724e-02,5.693947556470457805e-02,1.670167801698716620e-02
7.000000000000000000e+01,6.419488287058000564e-02,8.130415770160048794e-04,3.145549260658431212e-02,1.604872071764498406e-02,3.983903727378113047e-04,2.032603942539967746e-04,1.000000000000000000e+01,4.000000000000000083e-03,1.974000000000000000e+03,1.228220548194533003e-02,5.231762381972127063e-02,1.460401700469293913e-02
8.000000000000000000e+01,5.606894833000025669e-02,7.101249216975302758e-04,2.747378468170014187e-02,1.401723708250009713e-02,3.479612116317754023e-04,1.775312304243781237e-04,1.100000000000000000e+01,4.400000000000000265e-03,1.974000000000000000e+03,1.078761558519131074e-02,3.736663108110921394e-02,1.294262703452900287e-02
